details
"Condominium | Intermediate  •  Built-up : 1,122 sq. ft.  •  Fully furnished"
"Condominium | Corner lot  •  Built-up : 1,450 sq. ft.  •  Partly furnished"
"Condominium | Duplex  •  Built-up : 3,983 sq. ft.  •  Partly furnished"
"Condominium | Corner lot  •  Built-up : 2,573 sq. ft."
"Condominium | Intermediate  •  Built-up : 1,440 sq. ft.  •  Fully furnished"
"Serviced Residence | Corner lot  •  Built-up : 1,399 sq. ft.  •  Partly furnished"
"Condominium | Corner lot  •  Built-up : 3,080 sq. ft.  •  Fully furnished"
Serviced Residence  •  Built-up : 731 sq. ft.
"Condominium | Corner lot  •  Built-up : 1,270 sq. ft."
Serviced Residence | Corner lot  •  Built-up : 846 sq. ft.  •  Fully furnished
"Serviced Residence  •  Built-up : 1,750 sq. ft.  •  Partly furnished"
Condominium  •  Built-up : 836 sq. ft.
"Serviced Residence  •  Built-up : 1,292 sq. ft.  •  Partly furnished"
Serviced Residence  •  Built-up : 850 sq. ft.
Serviced Residence  •  Built-up : 933 sq. ft.  •  Partly furnished
"Condominium  •  Built-up : 1,615 sq. ft."
"Condominium  •  Built-up : 1,399 sq. ft."
"Condominium | Intermediate  •  Built-up : 2,454 sq. ft.  •  Partly furnished"
"Semi-detached House | Corner lot  •  Built-up : 4,800 sq. ft.  •  Partly furnished"
"Condominium | Corner lot  •  Built-up : 1,159 sq. ft.  •  Unfurnished"
"2-sty Terrace/Link House | Intermediate  •  Built-up : 2,200 sq. ft.  •  Partly furnished"
"Bungalow | Corner lot  •  Built-up : 7,000 sq. ft.  •  Partly furnished"
Serviced Residence  •  Built-up : 775 sq. ft.  •  Partly furnished
"3-sty Terrace/Link House  •  Built-up : 3,600 sq. ft."
"Serviced Residence  •  Built-up : 1,738 sq. ft.  •  Partly furnished"
"Townhouse  •  Built-up : 2,750 sq. ft."
Condominium | Corner lot  •  Built-up : 989 sq. ft.  •  Fully furnished
"Condominium | Corner lot  •  Built-up : 4,771 sq. ft.  •  Partly furnished"
"Serviced Residence | Corner lot  •  Built-up : 1,292 sq. ft.  •  Partly furnished"
"Serviced Residence | Corner lot  •  Built-up : 1,469 sq. ft.  •  Partly furnished"
"Condominium | Intermediate  •  Built-up : 2,508 sq. ft.  •  Fully furnished"
"Condominium | Intermediate  •  Built-up : 1,200 sq. ft.  •  Fully furnished"
"Condominium | Corner lot  •  Built-up : 1,254 sq. ft.  •  Fully furnished"
"Condominium | Corner lot  •  Built-up : 1,428 sq. ft."
"Serviced Residence | Penthouse  •  Built-up : 7,793 sq. ft.  •  Fully furnished"
"Condominium  •  Built-up : 2,648 sq. ft."
Serviced Residence | Intermediate  •  Built-up : 686 sq. ft.  •  Fully furnished
