location,area,details,price,date,agent,agency,link,rooms,bathroom,parking
"Sunway Mont Residences, Mont Kiara","Mont Kiara, Kuala Lumpur","Condominium | Intermediate  •  Built-up : 1,122 sq. ft.  •  Fully furnished","RM 1,050,000",Posted today 02:59 AM,Melissa Low,IQI Realty Sdn Bhd - Desa Sri Hartamas,https://www.iproperty.com.my/property/mont-kiara/sunway-mont-residences/ol-sale-104450547/,2+1,2,2
"Bennington Residences @ SkyArena, Setapak","Setapak, Kuala Lumpur","Condominium | Corner lot  •  Built-up : 1,450 sq. ft.  •  Partly furnished","RM 680,000",Posted today 02:42 AM,Jo Tan,Maxxan Realty - HQ,https://www.iproperty.com.my/property/setapak/bennington-residences-sky-arena/ol-sale-104508731/,4,3,3
"Sunway Vivaldi, Sri Hartamas","Sri Hartamas, Kuala Lumpur","Condominium | Duplex  •  Built-up : 3,983 sq. ft.  •  Partly furnished","RM 2,700,000",Posted today 02:37 AM,Melissa Low,IQI Realty Sdn Bhd - Desa Sri Hartamas,https://www.iproperty.com.my/property/sri-hartamas/sunway-vivaldi/ol-sale-104450535/,4+1,5,3
"Sunway Vivaldi, Sri Hartamas","Sri Hartamas, Kuala Lumpur","Condominium | Corner lot  •  Built-up : 2,573 sq. ft.","RM 2,200,000",Posted today 02:33 AM,Melissa Low,IQI Realty Sdn Bhd - Desa Sri Hartamas,https://www.iproperty.com.my/property/sri-hartamas/sunway-vivaldi/ol-sale-104450532/,3+1,5,2
"The Reach @ Titiwangsa, Setapak","Setapak, Kuala Lumpur","Condominium | Intermediate  •  Built-up : 1,440 sq. ft.  •  Fully furnished","RM 788,000",Posted today 02:27 AM,Jo Tan,Maxxan Realty - HQ,https://www.iproperty.com.my/property/setapak/the-reach-titiwangsa/ol-sale-104508695/,3,3,2
"Hampshire Place, Hampshire Park, KLCC","KLCC, Kuala Lumpur","Serviced Residence | Corner lot  •  Built-up : 1,399 sq. ft.  •  Partly furnished","RM 1,388,000",Posted today 01:32 AM,Steven K. Mohan,Jann Properties,https://www.iproperty.com.my/property/klcc/hampshire-place/sale-101326554/,2,2,1
"The Troika, KLCC","KLCC, Kuala Lumpur","Condominium | Corner lot  •  Built-up : 3,080 sq. ft.  •  Fully furnished","RM 2,650,000",Posted today 01:07 AM,Daniel,Meridin Properties,https://www.iproperty.com.my/property/klcc/the-troika/sale-101398670/,3+1,4,2
"8 Kia Peng, KLCC","KLCC, Kuala Lumpur",Serviced Residence  •  Built-up : 731 sq. ft.,"RM 1,430,000",Posted today 12:59 AM,Francis Ngooi,Reapfield Properties (HQ) Sdn. Bhd.,https://www.iproperty.com.my/property/klcc/8-kia-peng/ol-sale-104450440/,1+1,2,1
"Hampshire Residences, Hampshire Park, KLCC","KLCC, Kuala Lumpur","Condominium | Corner lot  •  Built-up : 1,270 sq. ft.","RM 1,480,000",Posted today 12:51 AM,Merchel Liew,Propnex Realty Sdn. Bhd.,https://www.iproperty.com.my/property/klcc/hampshire-residences/sale-103686370/,2,2,1
"KL Gateway Residences, Bangsar South, Kampung Kerinchi (Bangsar South)","Kampung Kerinchi (Bangsar South), Kuala Lumpur",Serviced Residence | Corner lot  •  Built-up : 846 sq. ft.  •  Fully furnished,"RM 800,000",Posted today 12:34 AM,Christina Loke,IQI Realty Sdn. Bhd.,https://www.iproperty.com.my/property/kampung-kerinchi-bangsar-south/kl-gateway-residences/sale-104398101/,2,2,1
"Pavilion, Damansara Heights","Damansara Heights, Kuala Lumpur","Serviced Residence  •  Built-up : 1,750 sq. ft.  •  Partly furnished","RM 3,226,282",Posted today 12:14 AM,Nicole How,Chester Properties Sdn Bhd (HQ),https://www.iproperty.com.my/property/damansara-heights/pavilion/sale-104163529/,3+1,3,2
"Pavilion Suites, Bukit Bintang","Bukit Bintang, Kuala Lumpur",Condominium  •  Built-up : 836 sq. ft.,"RM 2,500,000",Posted yesterday 11:49 PM,Megan Goh,Polygon Properties,https://www.iproperty.com.my/property/bukit-bintang/pavilion-suites/sale-104042189/,1,1,
"The Fiddlewoodz @ KL Metropolis, Solaris Dutamas, Dutamas","Dutamas, Kuala Lumpur","Serviced Residence  •  Built-up : 1,292 sq. ft.  •  Partly furnished","RM 1,277,700",Posted yesterday 11:41 PM,Aylex Chia,IQI Realty Sdn. Bhd.,https://www.iproperty.com.my/property/dutamas/the-fiddlewoodz-kl-metropolis/ol-sale-104477188/,3,2,2
"M Astra, Setapak","Setapak, Kuala Lumpur",Serviced Residence  •  Built-up : 850 sq. ft.,"RM 389,000",Posted yesterday 11:26 PM,Joyce Yap,Duxton Property Sdn Bhd,https://www.iproperty.com.my/property/setapak/m-astra/sale-104427174/,3,2,2
"The Park 2, Bukit Jalil","Bukit Jalil, Kuala Lumpur",Serviced Residence  •  Built-up : 933 sq. ft.  •  Partly furnished,"RM 930,000",Posted yesterday 11:17 PM,Vvien Yap,Dreamvest Realty Sdn. Bhd.,https://www.iproperty.com.my/property/bukit-jalil/the-park-2/sale-103574565/,3,2,1
"The Goodwood Residence, Bangsar South, Kampung Kerinchi (Bangsar South)","Kampung Kerinchi (Bangsar South), Kuala Lumpur","Condominium  •  Built-up : 1,615 sq. ft.","RM 1,200,000",Posted yesterday 11:14 PM,Steven Tan,Dutama Properties,https://www.iproperty.com.my/property/kampung-kerinchi-bangsar-south/the-goodwood-residence/sale-104426591/,4,3,3
"The Goodwood Residence, Bangsar South, Kampung Kerinchi (Bangsar South)","Kampung Kerinchi (Bangsar South), Kuala Lumpur","Condominium  •  Built-up : 1,399 sq. ft.","RM 1,000,000",Posted yesterday 11:14 PM,Steven Tan,Dutama Properties,https://www.iproperty.com.my/property/kampung-kerinchi-bangsar-south/the-goodwood-residence/sale-104426623/,4,3,3
"Damai Suria, Ampang Hilir","Ampang Hilir, Kuala Lumpur","Condominium | Intermediate  •  Built-up : 2,454 sq. ft.  •  Partly furnished","RM 1,550,000",Posted yesterday 10:59 PM,David Lao,The Roof Realty - Puchong,https://www.iproperty.com.my/property/ampang-hilir/damai-suria/sale-103573326/,3,4,1
"Kiara View, Sri Hartamas","Sri Hartamas, Kuala Lumpur","Semi-detached House | Corner lot  •  Built-up : 4,800 sq. ft.  •  Partly furnished","RM 4,000,000",Posted yesterday 10:48 PM,Jeremy Tho,IQI Realty Sdn. Bhd.,https://www.iproperty.com.my/property/sri-hartamas/sale-102788239/,5+1,5,
"Midfields 2, Taman Sungai Besi, Sungai Besi","Sungai Besi, Kuala Lumpur","Condominium | Corner lot  •  Built-up : 1,159 sq. ft.  •  Unfurnished","RM 480,000",Posted yesterday 10:41 PM,Jerry Tan,IQI Realty Sdn. Bhd.,https://www.iproperty.com.my/property/sungai-besi/midfields-2/sale-102004622/,3,2,2
"Taman Bukit Maluri (Freehold), Bandar Menjalara, Kepong","Kepong, Kuala Lumpur","2-sty Terrace/Link House | Intermediate  •  Built-up : 2,200 sq. ft.  •  Partly furnished","RM 1,150,000",Posted yesterday 10:36 PM,Chloe Cheong,Tech Realtors Properties Sdn. Bhd.,https://www.iproperty.com.my/property/kepong/sale-104508050/,3,3,
"Bukit Damansara, Damansara Heights","Damansara Heights, Kuala Lumpur","Bungalow | Corner lot  •  Built-up : 7,000 sq. ft.  •  Partly furnished","RM 9,280,000",Posted yesterday 10:32 PM,Amanda Chong,Cornerstone Xstate Sdn Bhd,https://www.iproperty.com.my/property/damansara-heights/sale-104472401/,5+2,5,4
"Fortune Centra, Kepong","Kepong, Kuala Lumpur",Serviced Residence  •  Built-up : 775 sq. ft.  •  Partly furnished,"RM 465,000",Posted yesterday 10:23 PM,Charmaine Tan,Sinland Real Estate,https://www.iproperty.com.my/property/kepong/fortune-centra/sale-102860490/,2,2,1
"Sunway Montana, Taman Melawati, Setapak, Taman Melawati","Taman Melawati, Kuala Lumpur","3-sty Terrace/Link House  •  Built-up : 3,600 sq. ft.","RM 1,899,888",Posted yesterday 10:13 PM,Eweng Poh,Vivahomes Realty - Kota Damansara,https://www.iproperty.com.my/property/taman-melawati/sale-103990882/,5,6,4
"St Regis, KL Sentral","KL Sentral, Kuala Lumpur","Serviced Residence  •  Built-up : 1,738 sq. ft.  •  Partly furnished","RM 3,500,000",Posted yesterday 10:13 PM,Evon Heng,Propnex Realty Sdn. Bhd.,https://www.iproperty.com.my/property/kl-sentral/st-regis/sale-104499636/,2+1,4,1
"Sunway Montana, Taman Melawati, Kuala Lumpur, Taman Melawati","Taman Melawati, Kuala Lumpur","Townhouse  •  Built-up : 2,750 sq. ft.","RM 1,648,888",Posted yesterday 10:12 PM,Eweng Poh,Vivahomes Realty - Kota Damansara,https://www.iproperty.com.my/property/taman-melawati/sale-104086250/,3+1,4,4
"Vogue Suites One, KL Eco City","KL Eco City, Kuala Lumpur",Condominium | Corner lot  •  Built-up : 989 sq. ft.  •  Fully furnished,"RM 1,100,000",Posted yesterday 10:07 PM,Hycintha Sii,Ruma Realty,https://www.iproperty.com.my/property/kl-eco-city/vogue-suites-one/sale-100583315/,2,2,1
